Week,NCAA basketball championship: (United States),Gonzaga University: (United States)
2019-01-06,3,2
2019-01-13,3,3
2019-01-20,3,3
2019-01-27,2,2
2019-02-03,2,2
2019-02-10,3,3
2019-02-17,5,4
2019-02-24,3,3
2019-03-03,4,3
2019-03-10,7,5
2019-03-17,28,17
2019-03-24,14,31
2019-03-31,16,9
2019-04-07,69,3
2019-04-14,2,2
2019-04-21,2,2
2019-04-28,1,2
2019-05-05,1,1
2019-05-12,<1,2
2019-05-19,1,1
2019-05-26,2,2
2019-06-02,2,1
2019-06-09,1,1
2019-06-16,2,2
2019-06-23,1,2
2019-06-30,<1,1
2019-07-07,1,1
2019-07-14,<1,1
2019-07-21,1,1
2019-07-28,<1,1
2019-08-04,<1,1
2019-08-11,1,2
2019-08-18,1,2
2019-08-25,1,2
2019-09-01,1,2
2019-09-08,<1,2
2019-09-15,1,1
2019-09-22,1,2
2019-09-29,1,2
2019-10-06,1,1
2019-10-13,1,2
2019-10-20,2,1
2019-10-27,1,2
2019-11-03,4,2
2019-11-10,1,2
2019-11-17,2,2
2019-11-24,2,3
2019-12-01,3,2
2019-12-08,3,1
2019-12-15,2,2
2019-12-22,2,1
2019-12-29,3,2
2020-01-05,3,2
2020-01-12,3,2
2020-01-19,4,2
2020-01-26,2,1
2020-02-02,3,2
2020-02-09,3,3
2020-02-16,3,5
2020-02-23,2,3
2020-03-01,5,3
2020-03-08,7,3
2020-03-15,7,1
2020-03-22,9,1
2020-03-29,11,1
2020-04-05,4,1
2020-04-12,2,1
2020-04-19,2,1
2020-04-26,2,1
2020-05-03,2,1
2020-05-10,1,1
2020-05-17,1,1
2020-05-24,1,1
2020-05-31,1,<1
2020-06-07,1,1
2020-06-14,1,1
2020-06-21,1,1
2020-06-28,1,1
2020-07-05,1,1
2020-07-12,1,<1
2020-07-19,1,1
2020-07-26,<1,2
2020-08-02,<1,2
2020-08-09,1,1
2020-08-16,1,2
2020-08-23,1,1
2020-08-30,<1,1
2020-09-06,1,1
2020-09-13,1,1
2020-09-20,1,2
2020-09-27,1,1
2020-10-04,<1,1
2020-10-11,<1,1
2020-10-18,1,1
2020-10-25,1,1
2020-11-01,1,<1
2020-11-08,1,1
2020-11-15,1,2
2020-11-22,3,4
2020-11-29,3,4
2020-12-06,2,2
2020-12-13,1,3
2020-12-20,1,4
2020-12-27,1,2
2021-01-03,2,2
2021-01-10,2,2
2021-01-17,1,1
2021-01-24,1,1
2021-01-31,1,3
2021-02-07,1,2
2021-02-14,2,2
2021-02-21,2,2
2021-02-28,5,3
2021-03-07,4,4
2021-03-14,18,8
2021-03-21,12,16
2021-03-28,16,52
2021-04-04,45,100
2021-04-11,2,3
2021-04-18,1,2
2021-04-25,1,1
2021-05-02,1,1
2021-05-09,<1,1
2021-05-16,<1,2
2021-05-23,1,2
2021-05-30,1,1
2021-06-06,1,2
2021-06-13,1,1
2021-06-20,1,1
2021-06-27,1,1
2021-07-04,1,1
2021-07-11,1,1
2021-07-18,1,1
2021-07-25,1,2
2021-08-01,1,1
2021-08-08,<1,<1
2021-08-15,1,1
2021-08-22,1,1
2021-08-29,1,1
2021-09-05,<1,1
2021-09-12,<1,1
2021-09-19,<1,1
2021-09-26,<1,1
2021-10-03,1,1
2021-10-10,<1,1
2021-10-17,1,1
2021-10-24,1,1
2021-10-31,1,1
2021-11-07,3,1
2021-11-14,2,3
2021-11-21,3,7
2021-11-28,2,2
2021-12-05,3,6
